lat lon id secret server farm org.scrt fmt
56.34366 37.520112 10580449324 45b33e3070 2832 3 117e766aab jpg
56.34366 37.520112 10580472056 692fed375c 5490 6 fca22eb213 jpg
56.34366 37.520112 10580492574 52c8cd68d3 2862 3 805c521720 jpg
56.34366 37.520112 10580713613 06529b328a 7391 8 d7ecab8cc3 jpg
56.34366 37.520112 10580722003 65f09c2da3 5529 6 67be88992e jpg
56.34366 37.520112 10632567793 bb16ae71eb 2849 3 7527b03e93 jpg
56.34366 37.520112 10632949946 72d2d5ac7d 3782 4 ef69877345 jpg
56.34366 37.520112 10633514746 d905a884d7 7455 8 b2247c5222 jpg
56.34366 37.520112 10633578706 293f66b726 5543 6 2cd9a78eda jpg
56.34366 37.520112 10633786173 908be1cdbf 2854 3 b277df9b79 jpg
56.272708 37.551308 10874709184 5ab4d6155f 5539 6 352 photo
56.547466 37.634096 5360752547 3c0e21be9a 5250 6 140 photo
56.342185 37.523546 5810845653 a5a86ea16e 5118 6 183 photo
56.131836 37.578091 5979500370 94d9c3a1c5 6139 7 4732d74e5c jpg
56.45057 37.38844 6073311295 7e4071dfc3 6181 7 e8235bdd55 jpg
56.333812 37.515392 6074214120 071abb12f3 6187 7 f20b9dbda7 jpg
56.350176 37.530326 6349044355 1390666cfd 6229 7 4ae84078bc jpg
56.275624 37.555389 6691030939 9a5007b884 7032 8 669 photo
56.106516 37.4897 6952264274 1183a0fa89 7040 8 10 photo
56.25098 37.587833 6967725528 58ce999576 5192 6 0073622b6c jpg
56.1445 37.473833 7589572982 3b9539f5fb 8291 9 40211e5bd9 jpg
56.66066 37.654416 7631879890 fdebf8f87a 8005 9 efb73ef134 jpg
56.464979 37.498526 8076507367 cb40afdb7d 8330 9 3f8eace9b7 jpg
56.408771 37.523456 8191123534 8829f9e5fe 8203 9 279f3f783b jpg
56.45642 37.495479 8376310275 6208ee4113 8211 9 8d3c6f8249 jpg
56.230271 37.492431 8420537679 5e16391564 8087 9 24a227bb4f jpg
56.46219 37.492983 8495111044 b57712aa88 8377 9 4485a72254 jpg
56.355312 37.48739 8533983095 3b5ee32e61 8369 9 10bff30297 jpg
56.463913 37.493913 8534000925 5d9e2db59f 8110 9 7a4de7ffea jpg
56.230833 37.375 8586826068 c7e47e9857 8102 9 1c015048bb jpg
56.470607 37.485076 8648885490 85039c79b2 8524 9 98f5ab8645 jpg
56.444011 37.470314 8648892922 75e7ea98bf 8396 9 9f59ccca3f jpg
37.428102 56.544463 8800312200 3ab3fc24b5 3764 4 8e6a0b4291 jpg
56.1329 37.596488 8903970757 4015b6917a 8269 9 0e3306ac50 jpg
56.1329 37.596488 8904007925 8f7272c3e3 7413 8 ce862edec8 jpg
56.272085 37.554134 8955123561 e9d1ae3399 3788 4 10 photo
56.272085 37.554134 8955128175 8746cf9ef8 7303 8 5 photo
56.272085 37.554134 8955149589 b644cfe0c7 2857 3 5 photo
56.272085 37.554134 8956313448 c15a3786d7 8405 9 5 photo
56.272085 37.554134 8956340350 da973a8e16 2840 3 5 photo
56.407165 37.659795 9056737347 5df568c258 3724 4 54 photo
56.334666 37.512666 9125934791 dc40d4ed1a 3699 4 996546baa8 jpg
56.334666 37.512666 9125937949 90a8303d8f 3712 4 0f815bb4aa jpg
56.334666 37.512666 9125942763 88e32dc6c0 5478 6 ae86dffeb8 jpg
56.335333 37.5125 9125944337 43a0c50a00 7367 8 7de88a11fb jpg
56.335 37.512 9125947135 1a491f9855 5469 6 2a448d8af4 jpg
56.335 37.512 9125948281 8f83e5e1a2 3830 4 5caaf4024e jpg
56.335 37.512 9125949549 668525ffca 2815 3 91fb7ff527 jpg
56.335 37.511833 9125955831 f50dbbd077 7398 8 4eda97ab1d jpg
56.335 37.512 9125970523 cda5da42f3 5471 6 109e932b0d jpg
56.335 37.512 9125971661 5826435e71 3677 4 afd89858f7 jpg
56.335 37.512 9125973507 628aba0667 2818 3 9bf47465cd jpg
56.335166 37.512 9125979483 55b41560c9 3765 4 f3b6d492a3 jpg
56.335166 37.512 9125983425 51caeb3eb7 5466 6 ab35288001 jpg
56.335 37.512666 9125984779 f4ccf82346 3777 4 f4d04cd5ee jpg
56.337166 37.5135 9125989779 21acae3fd9 7415 8 16c12c6ec3 jpg
56.3375 37.511166 9125992743 3830900966 7304 8 a0d898624a jpg
56.334666 37.512666 9128156230 9cd2190398 7302 8 4220180eeb jpg
