lat lon id secret server farm org.scrt fmt
49.099723 37.434024 2825090696 0df4a6ba60 3060 4 8903f44337 jpg
49.099723 37.434024 2840345838 c9de697528 3081 4 454ea7e191 jpg
37.283333 49.583333 4539841039 84fc1fdc27 2759 3 f57fe79c5e jpg
37.292238 49.595783 518323552 80e8a370e0 220 1 2355916c79 jpg
37.292238 49.595783 518352227 db43b7e7a9 217 1 75c54e243a jpg
37.292358 49.595687 518353693 4218898931 248 1 74a59ae005 jpg
37.29234 49.595697 518354429 2a73f48605 252 1 a3e7784899 jpg
37.297435 49.589573 518355257 5c9e1464fe 235 1 c3fbfe5de5 jpg
37.297477 49.58951 518359637 dffac7bbbb 242 1 09a49e69c8 jpg
37.463635 49.465 527929186 152716720f 1166 2 861990c77a jpg
37.457597 49.456735 527929196 d4e3f55350 1039 2 6481afe905 jpg
37.467063 49.46793 527929210 c935076730 1048 2 742f2af0c5 jpg
37.279444 49.585833 5505464869 559bf46311 5218 6 3401d80731 jpg
37.266061 49.53392 5743707792 6c8161151a 5263 6 050232c403 jpg
37.3631 49.1329 6036364775 18bc36abcb 6199 7 23a7abac74 jpg
37.3631 49.1329 6102188078 738db66cb0 6184 7 28fb860ef0 jpg
37.484461 49.431803 6184247003 008624b532 6162 7 0064e3951e jpg
37.485091 49.431953 6184885168 f88b3ff90c 6167 7 e7be7d254f jpg
37.278378 49.587641 6449188451 89fa7187bb 7155 8 8148861b80 jpg
37.277105 49.58643 6890032677 903b236847 7195 8 da1840e661 jpg
37.277666 49.586558 6890035223 5b75e43a76 7055 8 c27a663258 jpg
37.278378 49.587641 6890039261 2b14e75bc6 7049 8 9e2678b607 jpg
37.279266 49.585653 6890039665 ecb118f34a 7064 8 d4dd788681 jpg
37.277945 49.590139 7060254323 f711f0b36d 7090 8 2faeaa60e2 jpg
37.465593 49.469032 7408476846 c0fdca8370 7275 8 46fd7b663b jpg
37.2794 49.5858 7443057420 5f386bdf9e 5341 6 e636ce18ff jpg
37.539105 49.251188 7649702234 e9395d3c85 7128 8 918f23a125 jpg
37.539658 49.266632 7649750220 b3507e69d9 8019 9 62fb29dcf4 jpg
37.328488 49.55983 7754164900 fb2a58cc57 8281 9 9e65b41b6e jpg
37.301097 49.596008 7789453988 82d1ed6521 8439 9 22da99bb52 jpg
37.294105 49.585735 7793546872 b33133cb77 8291 9 b5fea3eb83 jpg
37.301097 49.596008 7800499644 268c7fb39e 8431 9 1c460ecb32 jpg
37.301097 49.596008 7949845170 ff3ebc2981 8436 9 43aa336a23 jpg
37.294105 49.585735 7954769166 c4ec3a74bd 8312 9 e91779968e jpg
37.272465 49.584561 8004005756 13d4fab979 8301 9 791a3a08a7 jpg
37.276246 49.583069 8005901301 76b4a22f9f 8181 9 291500e8a3 jpg
37.45473 49.465119 8067947392 ca3c29e60b 8318 9 e1cda46d44 jpg
37.273591 49.547942 8122490707 55e5337db4 8471 9 133f2a7be0 jpg
37.273088 49.584935 8154777925 2869b964ae 8204 9 37bfcbeaf0 jpg
37.276767 49.584686 8169291876 a5aae1bc7f 8069 9 6fc703683a jpg
37.274402 49.581974 8210264841 de9ae74d29 8063 9 568e338bcf jpg
37.272942 49.580419 8211306448 80da5f0c48 8062 9 f48eed334f jpg
37.278568 49.592274 8213986230 aba212afb3 8207 9 cca22cf690 jpg
37.277126 49.584538 8232229144 7a45f60d12 8062 9 b0557935b1 jpg
37.278516 49.585071 8247881838 a41d1523b0 8200 9 0dc04e75bd jpg
37.268833 49.589166 8359020766 424d26d96e 8465 9 112 photo
37.268833 49.5885 8361493618 c7915d2acc 8195 9 128 photo
37.282022 49.598582 8620148102 eff3979f5b 8241 9 15 photo
