lat lon id secret server farm org.scrt fmt
0.615308 37.574875 9468811566 b5e474defb 3783 4 cb7c54a49a jpg
0.615308 37.57453 9468813320 e36916d547 7409 8 06280c213f jpg
0.596038 37.567105 9468911262 74813f17ac 3709 4 9f733ce82a jpg
0.595652 37.567536 9468912990 4db41d3c81 5449 6 afc8e619ab jpg
0.596855 37.502002 9468929930 9c884691bb 3806 4 01fcfcf677 jpg
0.619669 37.572458 9472301429 ce1ae66cbd 3752 4 c088796dbc jpg
0.609608 37.587725 9472312453 e1b738dc49 7442 8 6e884e7110 jpg
0.62898 37.639161 9472359829 7b582840ab 7285 8 765f08692e jpg
0.596058 37.568361 9472378201 51450a35c4 7318 8 356b033378 jpg
0.595911 37.568227 9472382653 f708fb7f12 2889 3 1754983386 jpg
0.619566 37.572502 9475091602 1c81095cd2 5472 6 b59a939580 jpg
0.60635 37.576844 9475093240 db5fbde630 7334 8 1fd7d7e28d jpg
0.603627 37.577594 9475094562 b787bd7774 5488 6 9608a95fc2 jpg
0.603647 37.577513 9475096094 682c9f6975 2864 3 355e06439c jpg
0.59398 37.621963 9817875875 bd2418e4fe 5323 6 86fab683ec jpg
0.59398 37.621963 9817884694 d1cc388b12 2864 3 303c36208e jpg
