lat lon id secret server farm org.scrt fmt
37.30467 -89.517996 107291960 98cd890066 52 1 98cd890066 jpg
37.305711 -89.517449 107291962 95d8ad2592 42 1 95d8ad2592 jpg
37.305711 -89.517449 107291963 09837fd95e 37 1 09837fd95e jpg
37.55199 -89.346603 117654355 2772aa8ccd 42 1 1810 photo
37.55199 -89.346603 117661090 02f4457435 49 1 259 photo
37.55199 -89.346603 117661091 a64dc797a8 41 1 253 photo
37.305404 -89.517567 137548139 62aa1a7a76 52 1 62aa1a7a76 jpg
37.55199 -89.346603 139961457 4504604385 46 1 279 photo
37.55199 -89.346603 139961519 d0b12acc6f 55 1 152 photo
37.55199 -89.346603 139962259 e3ac33a45a 44 1 82 photo
37.305404 -89.517567 140085653 546295d264 53 1 546295d264 jpg
37.305404 -89.517567 140086784 790596ea33 56 1 790596ea33 jpg
37.305404 -89.517567 141720484 f96c7e2426 51 1 f96c7e2426 jpg
37.305404 -89.517567 141720870 ddd4cd943e 54 1 ddd4cd943e jpg
37.615557 -89.202525 165167142 5f362e3c8a 46 1 5f362e3c8a jpg
37.615557 -89.202525 165191492 2ceb3e0a46 72 1 2ceb3e0a46 jpg
37.642148 -89.097205 237330340 5fe465d84e 93 1 5fe465d84e jpg
37.278423 -89.184941 2374468932 1da4208341 2088 3 168 photo
37.278423 -89.184941 2374470588 1762a42c15 3059 4 191 photo
37.306377 -89.522041 2566197183 dc6718217c 3094 4 77ce3c8aa6 jpg
37.30693 -89.528541 2566197189 7338c3c664 3154 4 1ebba6612f jpg
37.303848 -89.52304 2566197199 83bd239586 3021 4 c24a9789bb jpg
37.307042 -89.528778 2566197201 4f367a62e1 3166 4 2065d9553d jpg
37.305728 -89.518371 2566197203 f14cf0d203 3165 4 0f4a5156d9 jpg
37.304926 -89.518522 2566279063 128b51fd26 3092 4 660fbbc664 jpg
37.305728 -89.518414 2567091388 0d1c77a399 3032 4 b894eaab43 jpg
37.305011 -89.518479 2567091390 65ca834b71 3053 4 91777eae5e jpg
37.305148 -89.5185 2567091392 93c56f089e 3044 4 9ee4b8641e jpg
37.306411 -89.522062 2567091398 e4e27ac90a 3268 4 b894eaab43 jpg
37.306394 -89.521976 2567091404 ccbd092aa0 3072 4 ef51c7c9fa jpg
37.306274 -89.521976 2567098490 ee4948dfc4 3054 4 e99a866f96 jpg
37.306411 -89.521976 2567098506 141ed18d17 3179 4 bc3f8357a0 jpg
37.306291 -89.522749 2567098516 786e156932 3077 4 19a992b3ea jpg
37.301282 -89.582256 2735640806 13c160037f 3183 4 1 photo
37.312956 -89.546738 2748816865 9230c39c9b 3124 4 03f136efde jpg
37.312956 -89.546738 2748817197 25647096eb 3033 4 00a52bb18d jpg
37.312956 -89.546738 2748817533 dd2e1abb18 3142 4 0b3b7de106 jpg
37.312956 -89.546738 2748817787 13bc4e75fa 3214 4 3a9a8c23ef jpg
37.312956 -89.546738 2749650924 9cc666210d 3285 4 e84c9318f7 jpg
37.312956 -89.546738 2749652476 a0ee7707c0 3267 4 176e7a3ac2 jpg
37.311351 -89.552185 2855698942 8739857c3e 2290 3 c30c4e4881 jpg
37.55199 -89.346603 2969005683 b2edcfa8e2 3243 4 78 photo
37.55199 -89.346603 2969006511 2cc0d80bf4 3293 4 56 photo
37.55199 -89.346603 2969008523 3b4e516ed9 3160 4 68 photo
37.55199 -89.346603 2969851284 d4b6330a89 3189 4 85 photo
37.55199 -89.346603 2969852202 54a174b4b2 3153 4 76 photo
37.55199 -89.346603 2969853174 fa58fbba91 3048 4 70 photo
37.502594 -89.435658 31167464 8356558cfb 21 1 8356558cfb jpg
37.621896 -89.231455 3247098676 a2e4075751 3256 4 09a7ea5e0a jpg
37.311369 -89.5313 32808963 d766dabb31 22 1 82 photo
37.295384 -89.522309 352889895 b993b736d3 125 1 b993b736d3 jpg
37.686652 -89.310143 3533363019 1a0144a66e 3377 4 12ff879a2f jpg
37.686652 -89.310143 3534176518 b5ff520c2e 2268 3 7e8b183ea0 jpg
37.295393 -89.519959 353460662 9aeda4237a 158 1 9aeda4237a jpg
37.533475 -89.254088 4505784974 432332f580 2692 3 98499d02c1 jpg
37.514785 -89.038395 482234912 9ecae0c7ec 179 1 32 photo
37.567614 -89.312206 48606215 26bf31f307 32 1 194 photo
37.310213 -89.520351 5086809257 eb2dbbe64e 4083 5 2e7a43f2da jpg
37.31014 -89.520501 5086810565 95349e53b9 4146 5 dfc0dd986d jpg
37.329815 -89.495374 5086814727 2a6496958e 4083 5 2725e7f757 jpg
37.310417 -89.519686 5087403986 6fd8d01a0a 4124 5 678e8efce1 jpg
