lat lon id secret server farm org.scrt fmt
-8.14338 139.954 4701002419 e781deab03 4025 5 36 photo
-8.14338 139.954 4701002939 b547dc3e48 4066 5 78 photo
-8.14338 139.954 4701003397 cfffd7f824 4063 5 84 photo
-8.14338 139.954 4701004679 2fa57e71d5 4012 5 35 photo
-8.14338 139.954 4701005221 9588856474 1301 2 43 photo
-8.14338 139.954 4701005911 d6983d8a0c 4003 5 44 photo
-8.14338 139.954 4701634942 8f0e15eb71 4040 5 43 photo
-8.14338 139.954 4701637102 b61bd9a806 4046 5 41 photo
-8.14338 139.954 4701637552 c473aa4ffb 4022 5 64 photo
