lat lon id secret server farm org.scrt fmt
37.316468 -8.805183 116329421 22eb287f4a 44 1 8161 photo
37.296401 -8.873177 116338831 5c7c6dd003 54 1 7178 photo
37.339984 -8.856804 116409827 a661e9e084 19 1 5115 photo
37.296102 -8.873005 116421228 f4a41d5242 40 1 10215 photo
37.366026 -8.835572 116507271 bbc68a7f4e 47 1 6451 photo
37.39904 -8.815434 116526123 6dbe89be38 53 1 4543 photo
37.398545 -8.815563 116688802 3a57bcd624 47 1 4310 photo
37.463844 -8.796353 116966627 5b213f3ff4 44 1 4037 photo
37.527153 -8.787689 140787873 b7c83a0a96 48 1 b7c83a0a96 jpg
37.550548 -8.792474 140787900 a8c4d9823c 44 1 a8c4d9823c jpg
37.599289 -8.817214 140787928 2d8b87f687 46 1 2d8b87f687 jpg
37.320926 -8.876996 167782447 6c4a69c1ba 59 1 6c4a69c1ba jpg
37.343311 -8.852234 184341551 0ea058c3db 73 1 0ea058c3db jpg
37.314753 -8.804882 186866432 919e50d79e 62 1 919e50d79e jpg
37.314761 -8.804925 186866867 8fa2ff628a 69 1 8fa2ff628a jpg
37.314727 -8.804861 186867445 446abcadff 74 1 446abcadff jpg
37.317133 -8.802935 186867965 edf2b0970a 49 1 edf2b0970a jpg
37.65729 -8.800735 207526185 567d9c39f5 87 1 567d9c39f5 jpg
37.65729 -8.800735 207526808 9e4038844e 89 1 9e4038844e jpg
37.652346 -8.795971 207528554 96ca225280 78 1 96ca225280 jpg
37.65729 -8.800735 207529036 91f1442379 59 1 91f1442379 jpg
37.65729 -8.800735 207529465 b506e3b77c 80 1 b506e3b77c jpg
37.65729 -8.800735 207529894 4075f41dc8 82 1 4075f41dc8 jpg
37.65729 -8.800735 207530359 e95272698b 60 1 e95272698b jpg
37.65729 -8.800735 207531305 db8a961460 84 1 db8a961460 jpg
37.308741 -8.873477 209509081 421e9f84fe 84 1 421e9f84fe jpg
37.316608 -8.805112 209578733 4959852b11 64 1 4959852b11 jpg
37.322154 -8.812323 210176328 81cdbaef3f 83 1 81cdbaef3f jpg
37.351729 -8.844423 2435681620 66e95669fa 2188 3 f850ea543c jpg
