lat lon id secret server farm org.scrt fmt
37.460477 29.313202 3820973783 78fe8dda11 2464 3 75 photo
37.477541 29.322447 3822038293 df05198af1 2491 3 157 photo
37.477355 29.322736 3825798959 762f36d24c 3523 4 82 photo
37.478308 29.326216 3992787012 58f2dba5a9 2497 3 187 photo
37.479227 29.327138 3994662583 675fb76c3b 3488 4 125 photo
37.478588 29.326413 3994679035 1f575db0e4 3506 4 257 photo
37.479208 29.327161 3995429232 85b7e1d18d 2594 3 119 photo
37.478605 29.326519 3995435886 a957d71081 2475 3 114 photo
37.486681 29.320492 4741190557 873356d42b 4139 5 e35502cb8b jpg
37.486681 29.320492 4741190841 9b8b8d61ba 4098 5 e164923a94 jpg
37.676212 29.760246 5283196218 f7f2bb4129 5009 6 326 photo
37.426333 29.351667 6178246221 aa72f0891b 6173 7 b1a504f8ab jpg
37.426333 29.351667 6178248043 2f3b3201fd 6155 7 dfba2ca3e9 jpg
37.3845 29.556333 6178266059 930d471d50 6154 7 448ff8b3e8 jpg
37.649667 29.909667 6178266401 0acaff4e8d 6172 7 e3c47a18f7 jpg
37.649667 29.909833 6178774674 f2ec7560ee 6169 7 83fa2ba63c jpg
37.4425 29.479 6179652601 640ce2a876 6160 7 ac9dcd531b jpg
37.4425 29.478833 6179653911 569f7fc4aa 6164 7 fa5967d2c2 jpg
37.4425 29.478833 6179658041 407853e144 6167 7 1c81aab652 jpg
37.45 29.392167 6179726411 3dd426cda1 6180 7 c8e50c50d7 jpg
37.45 29.392167 6179728887 af0dcda4f2 6177 7 b587fabc89 jpg
37.45 29.392167 6179730197 29babbd843 6152 7 b3d6d883d4 jpg
37.45 29.392167 6179731437 d8b3a3d8a3 6156 7 e6c717f5ef jpg
37.4425 29.478833 6180181918 d25a6b8bbe 6158 7 b9ac09cc87 jpg
37.45 29.392167 6180254422 7628c7ba82 6155 7 0801e498ce jpg
37.3845 29.555833 6180265824 49550725ea 6155 7 fe184683cd jpg
37.663169 29.344499 6186106397 c2977e08a7 6170 7 84622e83f6 jpg
37.549702 29.608744 6906333221 8d3ea2fa09 7183 8 112 photo
37.444655 29.344802 6920293397 7cbf81c513 7206 8 31 photo
37.444655 29.344802 6920294683 8d22a2649e 7070 8 33 photo
37.525519 29.647979 6976239356 f59df5a000 7129 8 55 photo
37.673488 29.343229 7209171538 e23d9c1835 7087 8 57382b42b5 jpg
37.673488 29.343229 7209210248 f0eee6ef7e 8001 9 a0b3823973 jpg
37.388111 29.500501 7617420122 49e7ef933f 7132 8 dc051510b9 jpg
37.388299 29.500243 7617425488 9d29f8b9f3 7118 8 c170852077 jpg
37.386355 29.498677 7617463418 3f06d35e98 8025 9 0a409368f6 jpg
37.526609 29.666862 7636919366 07a886394b 7279 8 f40a331d53 jpg
37.410349 29.582437 7776538180 ff08d775f3 7277 8 a94a8fa6bb jpg
37.410383 29.582844 7776550208 d14c9c897f 8432 9 1a30b2eefa jpg
37.410229 29.582673 7776550474 5621b1ab8a 8426 9 72cfde7ce4 jpg
37.489333 29.319333 7978186977 4c2e1050aa 8036 9 25 photo
37.482333 29.323 7978190815 61e4aa6f32 8035 9 32 photo
37.482667 29.322833 7978191026 f2c8bc8455 8042 9 31 photo
37.673488 29.343229 8028884239 501c73f673 8316 9 05ffa2e46a jpg
37.374333 29.436361 8493540179 abca4b1628 8230 9 7c3b4de037 jpg
37.342594 29.506586 8493540667 9677fcabce 8522 9 bab4ea5de9 jpg
37.319041 29.520833 8493541227 891b778a25 8382 9 35f2720739 jpg
37.319011 29.520786 8493541851 eaebae3d67 8247 9 05c4117357 jpg
37.320033 29.519077 8493543331 f8ebc2cf44 8512 9 aac91c1dd1 jpg
37.320358 29.519341 8493544083 8591d81231 8242 9 1af11a7f83 jpg
37.541797 29.296872 8494639096 0858daffe8 8387 9 35cb092cf1 jpg
37.494369 29.316169 8494639646 62a2a14512 8225 9 144bd35f45 jpg
37.319088 29.520522 8494642668 aee1456072 8524 9 559dea4ede jpg
37.519658 29.67675 8553671665 c4e21a6466 8108 9 32 photo
37.316502 29.525411 8751912617 5b15fc336a 3677 4 7cf8bd2e5d jpg
37.315136 29.52753 8751913049 ed35a8ee16 5462 6 57c0a880a4 jpg
37.314916 29.527872 8751913975 90fc9330ac 7438 8 8db6438bb1 jpg
37.328622 29.51333 8751958583 bf15b20d77 5453 6 cffa222577 jpg
37.315052 29.527658 8751960265 b8986918fe 2816 3 aa47e17b1f jpg
37.326247 29.514188 8753032956 8338502fbc 7458 8 783e67280c jpg
37.31785 29.523316 8753033744 c99c8310ed 5345 6 a4bb26dafc jpg
37.31725 29.52425 8753034164 1b10f7db6d 8402 9 6675c130d3 jpg
37.316547 29.525338 8753034634 01bf3af69e 2806 3 f14336fd72 jpg
37.321383 29.517827 8753081566 f92e4c0507 5468 6 32f5ebe57f jpg
37.426717 29.350318 8780292843 a1457d4f0b 8257 9 67fa96aeb1 jpg
37.521505 29.302758 8811496923 30bc790521 8403 9 0c8a2203a1 jpg
37.396675 29.396552 8811502003 b21a43ba0b 5454 6 5abef6d2a7 jpg
37.396675 29.396552 8811505407 89607941ca 3826 4 4267d8ea55 jpg
37.396675 29.396552 8811507177 4537006af1 3777 4 36af2dd6d3 jpg
37.396675 29.396552 8811509769 633a9f8e4c 5341 6 9ab2e39d6b jpg
37.396675 29.396552 8811512261 1f18566daf 5452 6 a79d8d00b1 jpg
37.387647 29.414055 8811513943 820e4ea9e9 7325 8 08bb5b87f4 jpg
37.382905 29.422419 8822104796 5fa5dd1bba 3791 4 bf3e8a57d5 jpg
37.364119 29.474372 8822106558 2480277678 3803 4 a002e1cd89 jpg
37.320766 29.518608 8822110962 9b6fb2ba8e 7402 8 4b9b7e9776 jpg
37.320766 29.518608 8822113586 f9e767233d 7349 8 dcd993b74b jpg
37.42155 29.361263 8874615515 9405c40906 3790 4 91e462bdd6 jpg
37.426717 29.350318 8938212120 1a0e79d3c7 7340 8 548896dc42 jpg
37.371088 29.429902 8961688087 1e320fda54 8402 9 1f441bbcf4 jpg
37.543941 29.296194 8962875416 a91c3c0bc1 7312 8 4ee8ab486c jpg
37.539577 29.297711 8962877588 0f8c372594 3677 4 b7baa59684 jpg
37.514805 29.305208 8962879512 18a75bf554 5342 6 825fc8e4f6 jpg
37.511922 29.30678 8962881372 ae3c356854 7349 8 9eae298d9b jpg
37.492638 29.317172 8962883156 073779d33b 3798 4 d009a3963d jpg
37.370172 29.429794 8962887390 038d6ee436 3744 4 eaaf77f5da jpg
37.325613 29.435947 8962889200 a5ca2a5e2f 7431 8 03258b1283 jpg
37.288027 29.456516 8962890686 7957afcc29 3790 4 0510d3d32b jpg
37.511194 29.691586 9125368846 1f4153c02c 5531 6 b54c0a19f2 jpg
37.668252 29.738922 9125419532 e08095cd5e 2820 3 456ef5b970 jpg
