lat lon id secret server farm org.scrt fmt
-3.516667 -40.316667 6199635607 e731c1a0b9 6180 7 6e3ab69520 jpg
-3.31378 -40.142091 8546212722 33ab418037 8102 9 d68c7c29a3 jpg
-3.281936 -40.140153 8585570765 2996cdc6a1 8510 9 393a709c44 jpg
-3.2321 -40.125069 8587433094 32fe2c2689 8528 9 872f42e991 jpg
-3.460124 -40.201557 8659683732 86754c367a 8115 9 0194051379 jpg
-3.227408 -40.129913 8668419587 03063a0127 8386 9 19a4b7c5ca jpg
-3.227408 -40.129913 8669534786 3d47663486 8380 9 bf5f29bbf3 jpg
-3.316866 -40.141904 8669570738 72397e5867 8383 9 d0bd97c90b jpg
-3.226927 -40.122404 8835072358 b159e180dd 5344 6 6eef030566 jpg
-3.460377 -40.20983 9041952065 245180a5f2 5545 6 457db09f81 jpg
-3.298005 -40.133069 9173961025 02d5ac8832 5538 6 50287e5465 jpg
-3.459603 -40.211785 9201458525 3e2bbf4f97 5478 6 67f6f4f276 jpg
-3.459603 -40.211785 9206959497 87419100f9 2879 3 e3f470c4bb jpg
-3.316741 -40.142068 9218451096 074a75f8ac 2888 3 3c9e773c0b jpg
-3.316734 -40.142059 9267795666 a78340b8b7 7435 8 10882eab31 jpg
-3.316934 -40.141896 9277305186 7845c91f6a 5523 6 6c1cc9cbb4 jpg
-3.316734 -40.142059 9290161446 9b894523d5 7372 8 20e2e423e5 jpg
-3.316734 -40.142059 9316340535 69c498ddb2 7282 8 7f4899cc9f jpg
-3.459596 -40.20983 9372993376 e2cd6bbd07 5350 6 9ed5f46112 jpg
-3.464569 -40.211418 9374555430 f90fa4b074 3750 4 c3dc8dffeb jpg
-3.316731 -40.142068 9381887144 9cdd9d16b5 3704 4 1b8a6228a0 jpg
-3.29692 -40.150422 9424692287 9df7bbd1be 7454 8 6a8f9a1f1f jpg
