lat lon id secret server farm org.scrt fmt
-39.944089 -71.0722 10915797736 497c4b9c9c 2865 3 e19f75b0c4 jpg
-39.965674 -71.075878 3516203266 6b3536a3af 3383 4 a879fa3506 jpg
-39.7526 -71.281356 4119089818 74d9791288 2447 3 0b357b8841 jpg
-40.162128 -71.20948 4828934842 637b80b47c 4137 5 2d1297e4df jpg
-40.148504 -71.310195 5383553684 16956b5216 5170 6 b1d78858f2 jpg
-40.147519 -71.31071 5389278478 2dd8813e99 5258 6 c3751fdca2 jpg
-40.358579 -71.257667 5392071238 9f3b1e6f03 5133 6 537df1c048 jpg
-39.93392 -71.069355 5465158471 ec6db2de94 5294 6 9683f23bda jpg
-39.938435 -71.064891 5490514954 972ab0a377 5055 6 638bd09a5b jpg
-39.9512 -71.069011 5507745710 052fea3fde 5176 6 54a1df0694 jpg
-39.938171 -71.065235 5512811757 d0b786f3aa 5138 6 661eb72af0 jpg
-39.956661 -71.071071 5512812798 611fe9694a 5220 6 c934bcd13d jpg
-39.796666 -71.213378 6562286339 2090218e13 7170 8 380a86a37a jpg
-39.957254 -71.071586 6576105371 04313eff79 7025 8 0809373dd3 jpg
-39.952516 -71.066093 6588174895 c2cf2da091 7168 8 00eb10876c jpg
-39.952845 -71.065921 6588177501 139d1c1e8e 7015 8 a3b86a44f5 jpg
-39.956267 -71.069698 6595595325 4029b6f7ea 7025 8 2c2288c87e jpg
-39.954753 -71.070899 6603607083 0802d7b11d 7173 8 b24b4a2208 jpg
-39.95778 -71.071586 6636079967 d410032341 7163 8 6852c561d3 jpg
-39.948569 -71.070556 6679014035 e9942b5c61 7170 8 23155a285c jpg
-39.951398 -71.069355 6679014495 8e395cf9ac 7156 8 dd4cab4119 jpg
-39.939093 -71.065063 6679019719 b7caa34449 7154 8 ab7bc100d6 jpg
-39.953766 -71.070899 6697429645 f308d3ed68 7033 8 7990be06da jpg
-39.96028 -71.077938 6715606533 c02fffba6a 7008 8 77e0ebe960 jpg
-39.95903 -71.076393 6715609397 c694ee942a 7031 8 2c99d90873 jpg
-39.948305 -71.088066 6715613469 3bf67b9095 7142 8 24c3ba2518 jpg
-39.949819 -71.090297 6715617521 c66b975f44 7001 8 5b1b180693 jpg
-39.949753 -71.090641 6715621729 f38e7057af 7159 8 99eab987e5 jpg
-39.949556 -71.090126 6715626271 41b60e8480 7017 8 c6860043a5 jpg
-39.956793 -71.071586 6829592321 b717dfeb6f 7026 8 9568740675 jpg
-39.956003 -71.071414 6838970639 87e6b8e57f 7158 8 c3dbc46f1e jpg
-39.956201 -71.073303 6838974233 7c0060db0d 7014 8 b406850f47 jpg
-39.95574 -71.071929 6838976229 6ae79cfc5f 7173 8 12c928933d jpg
-39.952122 -71.070899 6849493271 770fcf42aa 7007 8 8fef2f1312 jpg
-39.955938 -71.078453 6859149341 3d3492be6a 7057 8 3f80e8f5db jpg
-39.953503 -71.078187 6903452212 b068aaff9f 7177 8 72685f957b jpg
-39.951165 -71.070993 7049538915 c6c7faa7f1 7110 8 534ca99f53 jpg
-39.789676 -71.219902 7075004213 1b6a1fc56e 7138 8 46ee1fefb0 jpg
-40.382349 -71.265145 8207352326 13fa65d11a 8338 9 179cf0df99 jpg
-39.886592 -71.156618 8447476461 0a7975ba0e 8231 9 194 photo
-39.765137 -71.073131 9246027786 81e3f856f0 7294 8 f5c78892d9 jpg
-39.949167 -71.0755 9462351810 c6f45c192e 2836 3 d4e03b972a jpg
-40.216377 -71.299896 9503698517 aa1e4a3756 7329 8 417 photo
-40.198005 -71.301442 9526301885 2c8565b3d9 2832 3 469a87dace jpg
-40.138834 -71.2915 9559375070 8c0bc43dab 5505 6 87f0402571 jpg
-40.212564 -71.307173 9601083915 0d779b0726 7354 8 93d54ab8a1 jpg
-40.212564 -71.307173 9601464925 0c36c7049c 3822 4 26c8df7066 jpg
-40.212564 -71.307173 9601535711 13d2776b99 5454 6 b566b0f654 jpg
-40.22222 -71.300875 9601681919 c8df643ca3 5451 6 956b53e363 jpg
-40.22222 -71.300875 9601694745 9e4e73e32d 3726 4 90f41b30ac jpg
-40.207925 -71.308939 9601697143 b450f1fc55 2886 3 d359d05880 jpg
-40.212564 -71.307173 9601704329 b96b32717e 3824 4 5dab3edf0d jpg
-40.212564 -71.307173 9601705273 e096189d82 7408 8 70e2bd6d04 jpg
-40.212564 -71.307173 9601707169 55ce38d03a 2851 3 ace2e517a7 jpg
-40.212564 -71.307173 9601710559 dea02e44c2 3780 4 a01b18870f jpg
-40.212564 -71.307173 9601711719 e4c0a3d542 3709 4 ac505dce97 jpg
-40.207898 -71.302628 9601764155 5579b22564 2819 3 c6dfaafe44 jpg
-40.220125 -71.296517 9601767961 cf86edaaf6 5333 6 3ea0fe0a79 jpg
-40.207898 -71.302628 9601776217 7f0275ea5a 7427 8 8e2f44a3c4 jpg
-40.207898 -71.302628 9601819915 a3c1785873 5443 6 f62c863706 jpg
-40.220178 -71.296475 9601835633 20e9e70095 2837 3 64af730a6a jpg
